"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.483891500E0,-1.218526062E1,-2.717748413E0,9.812245331E0,1.587913383E1
1.493971500E0,-7.577991486E0,-2.068548431E0,6.543792114E0,1.022379884E1
1.504050500E0,-1.970202942E0,-4.289180603E0,7.106022949E0,8.530787304E0
1.514129500E0,-4.938530273E0,-1.710522949E1,8.610394592E0,1.977667445E1
1.524208500E0,-3.761527863E0,-1.291753784E1,4.459077301E0,1.417375201E1
1.534287500E0,-7.439529419E-2,1.025816803E0,8.622070312E0,8.683198215E0
1.544366500E0,-2.017205200E0,-2.013462982E0,7.497908020E0,8.021332475E0
1.554446500E0,-1.844314728E0,-2.620301056E0,8.896449738E0,9.455913090E0
1.564525500E0,-1.557211761E0,-4.393962708E0,9.689500580E0,1.075259216E1
1.574604500E0,-1.049766998E0,-6.434070282E0,1.144265488E1,1.316941995E1
1.584683500E0,-4.043092346E-1,-7.942633209E0,1.397643585E1,1.608072285E1
1.594762500E0,-2.968327332E-1,-8.533753967E0,1.447280365E1,1.680402071E1
1.604842500E0,-4.535568237E-2,-7.943082275E0,1.315838699E1,1.537002802E1
1.614921500E0,-2.850073242E-1,-6.192622375E0,1.172272247E1,1.326092090E1
1.625000500E0,-1.575324097E0,-3.914958801E0,9.592502289E0,1.047972560E1
1.635079500E0,-2.780318298E0,-2.144739990E0,8.233777771E0,8.951266718E0
1.645158500E0,-2.558180237E0,-2.042951660E0,7.757318573E0,8.419853268E0
1.655238500E0,-8.813671875E-1,-3.294199677E0,9.016799469E0,9.640084662E0
1.665317500E0,-8.399034119E-1,-3.221900024E0,1.028586044E1,1.081133676E1
1.675396500E0,-1.846859436E0,-2.531236267E0,1.099673218E1,1.143442895E1
1.685475500E0,-2.156415710E0,-2.245181122E0,1.096724350E1,1.140049986E1
1.695554500E0,-2.090702362E0,-1.929637299E0,1.064990341E1,1.102338329E1
1.705633500E0,-2.071392517E0,-1.727108459E0,1.031549881E1,1.066222708E1
1.715713500E0,-2.257305908E0,-2.302212524E-1,9.800120544E0,1.005936352E1
1.725792500E0,-3.105591888E0,1.730102234E0,9.779613190E0,1.040570944E1
1.735871500E0,-2.852917328E0,1.386416931E0,1.038869659E1,1.086215016E1
1.745950500E0,-1.755848694E0,5.149291992E-1,1.028346542E1,1.044499008E1
1.756029500E0,-1.787133636E0,-2.887495422E-1,9.310189362E0,9.484558444E0
1.766109500E0,-2.226020966E0,-5.288502502E-1,7.860005035E0,8.186240351E0
1.776188500E0,-2.818788300E0,-1.338067474E0,6.773414612E0,7.457555735E0
1.786267500E0,-2.299069061E0,-1.613045654E0,6.962022400E0,7.507155968E0
1.796346500E0,-1.171314240E0,-4.281097412E-1,7.762407990E0,7.861948410E0
1.806425500E0,-1.354682922E-1,1.342109070E0,9.014254761E0,9.114625462E0
1.816504500E0,5.848338318E-1,2.913092194E0,9.908644867E0,1.034453381E1
1.826584500E0,8.153544617E-1,4.594695282E0,9.863139496E0,1.091134952E1
1.836663500E0,-4.640350342E-2,6.706354065E0,8.732091522E0,1.101030247E1
1.846742500E0,-7.940986633E-1,7.138505402E0,7.773185577E0,1.058353750E1
1.856821500E0,-1.149459686E0,6.844067688E0,7.381899261E0,1.013187825E1
1.866900500E0,-1.490450592E0,6.463109894E0,7.554190979E0,1.005281223E1
1.876980500E0,-1.151405640E0,6.618187408E0,7.894134064E0,1.036549527E1
1.887059500E0,-4.334985352E-1,7.269932098E0,7.250921631E0,1.027694985E1
1.897138500E0,-1.196461945E0,7.335645447E0,6.205794983E0,9.682722070E0
1.907217500E0,-9.791139221E-1,7.710615692E0,5.916895752E0,9.768414086E0
1.917296500E0,7.035369873E-2,8.172854462E0,5.525010681E0,9.865406364E0
1.927376500E0,7.878117371E-1,8.535400543E0,4.924309845E0,9.885471016E0
1.937455500E0,1.279988251E0,9.277557220E0,5.203179932E0,1.071375374E1
1.947534500E0,2.121388550E0,1.003812561E1,5.872737579E0,1.182173007E1
1.957613500E0,2.261347504E0,9.274413757E0,5.793103180E0,1.116639994E1
1.967692500E0,1.664688263E0,7.553143158E0,5.578898621E0,9.536522867E0
